"ERNv","HostSpecies","VirusType","PathogenSpecies","Virus","HostStageInfected","HostTissueInfected","FieldOrLab","Country","IntermediateHost","CreationDate","ModificationDate","ProvinceA","PathogenValue","Group","HostTaxID","HostGenus","HostFamily","HostOrder","HostClass","PathTaxID","PathGenus","PathFamily","PathOrder","PathClass","PathKingdom"
1639,"Oryctes monoceros","DNA virus","Baculoviridae","Oryctes Nonoccluded virus","Larva;Adult","Fat body, midgut epithelium",NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",NA,NA,NA,NA,NA,10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
1640,"Oryctes nasicornis","DNA virus","Baculoviridae","Oryctes Nonoccluded virus","Larva;Adult","Fat body, midgut epithelium",NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",465150,"Oryctes","Scarabaeidae","Coleoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
760,"Othnonius batesi","DNA virus","Poxviridae","EPV Subgroup A ",NA,"Fat body",NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",NA,NA,NA,NA,NA,10240,NA,"Poxviridae","Chitovirales","Pokkesviricetes","Bamfordvirae"
761,"Papuana uninodis","DNA virus","Baculoviridae","Oryctes Baculovirus",NA,NA,"Lab",NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",NA,NA,NA,NA,NA,10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
762,"Pericoptus truncatus","RNA virus","Nodaviridae","Nonoccluded virus",NA,NA,"Lab",NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",NA,NA,NA,NA,NA,12283,NA,"Nodaviridae","Nodamuvirales","Magsaviricetes","Orthornavirae"
1369,"Phyllopertha horticola","DNA virus","Poxviridae","EPV Subgroup A ","Larva","Fat body",NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",207390,"Phyllopertha","Scarabaeidae","Coleoptera","Insecta",10240,NA,"Poxviridae","Chitovirales","Pokkesviricetes","Bamfordvirae"
763,"Phyllophaga anxia","DNA virus","Iridoviridae","Phyllophaga anxia IV",NA,NA,"Field","Canada",NA,1996-01-08,1999-02-12,"QC","Unknown","Virus",1710756,"Phyllophaga","Scarabaeidae","Coleoptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
764,"Phyllophaga pleei","DNA virus","Poxviridae","EPV Subgroup A ",NA,"Fat body",NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",903835,"Phyllophaga","Scarabaeidae","Coleoptera","Insecta",10240,NA,"Poxviridae","Chitovirales","Pokkesviricetes","Bamfordvirae"
765,"Proagopertha lucidula","DNA virus","Poxviridae","EPV Subgroup A ",NA,"Fat body","Field","China",NA,1996-01-08,1999-02-12,NA,NA,"Virus",1630950,"Proagopertha","Scarabaeidae","Coleoptera","Insecta",10240,NA,"Poxviridae","Chitovirales","Pokkesviricetes","Bamfordvirae"
766,"Popillia japonica","DNA virus","Iridoviridae","IV",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",7064,"Popillia","Scarabaeidae","Coleoptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
767,"Rhopaea verreauxi","DNA virus","Poxviridae","EPV Subgroup A ",NA,"Fat body",NA,NA,NA,1996-01-08,2000-02-03,NA,NA,"Virus",NA,NA,NA,NA,NA,10240,NA,"Poxviridae","Chitovirales","Pokkesviricetes","Bamfordvirae"
768,"Scapanes australis grossepunctatus","DNA virus","Baculoviridae","Baculovirus group C",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",NA,NA,NA,NA,NA,10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
769,"Sericesthis nigrolineata","DNA virus","Poxviridae","EPV Subgroup A ",NA,"Fat body",NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",2681018,"Sericesthis","Scarabaeidae","Coleoptera","Insecta",10240,NA,"Poxviridae","Chitovirales","Pokkesviricetes","Bamfordvirae"
770,"Strategus aloeus","DNA virus","Baculoviridae","Baculovirus group C",NA,NA,NA,NA,NA,1996-01-08,1999-02-12,NA,NA,"Virus",984469,"Strategus","Scarabaeidae","Coleoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
771,"Aedes albopictus","RNA virus","Nodaviridae","Nodmura virus",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",7160,"Aedes","Culicidae","Diptera","Insecta",12283,NA,"Nodaviridae","Nodamuvirales","Magsaviricetes","Orthornavirae"
772,"Culex pipiens pallens","RNA virus","Reoviridae","CPV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",7175,"Culex","Culicidae","Diptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
773,"Matsumuraeses phaseoli","DNA virus","Baculoviridae","GV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",1107872,"Matsumuraeses","Tortricidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
774,"Plutella xylostella","DNA virus","Baculoviridae","GV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",51655,"Plutella","Plutellidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
775,"Carposina niponensis","DNA virus","Baculoviridae","GV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",252295,"Carposina","Carposinidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
776,"Cnidocampa flavescens","DNA virus","Baculoviridae","GV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",1078814,"Monema","Limacodidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
777,"Parasa consocia","DNA virus","Baculoviridae","GV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",1481755,"Parasa","Limacodidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
778,"Parasa sinica","DNA virus","Baculoviridae","GV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",1509347,"Parasa","Limacodidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
779,"Cadra cautella","RNA virus","Reoviridae","CPV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",12985,"Cadra","Pyralidae","Lepidoptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
780,"Cadra cautella","DNA virus","Baculoviridae","GV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",12985,"Cadra","Pyralidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
781,"Chilo suppressalis","DNA virus","Baculoviridae","GV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",168631,"Chilo","Crambidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
782,"Cnaphalocrocis medinalis","DNA virus","Baculoviridae","GV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",437488,"Cnaphalocrocis","Crambidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
783,"Galleria mellonella","DNA virus","Poxviridae","EPV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",7137,"Galleria","Pyralidae","Lepidoptera","Insecta",10240,NA,"Poxviridae","Chitovirales","Pokkesviricetes","Bamfordvirae"
1370,"Galleria mellonella","DNA virus","Parvoviridae","Galleria mellonella DNV ","Larva","All except midgut","Field","Japan, France",NA,1996-01-08,1999-02-12,NA,NA,"Virus",7137,"Galleria","Pyralidae","Lepidoptera","Insecta",10780,NA,"Parvoviridae","Piccovirales","Quintoviricetes","Shotokuvirae"
784,"Diaphania pyloalis","DNA virus","Parvoviridae","DNV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",1242752,"Glyphodes","Crambidae","Lepidoptera","Insecta",10780,NA,"Parvoviridae","Piccovirales","Quintoviricetes","Shotokuvirae"
785,"Diaphania pyloalis","RNA virus","Picornaviridae","Infectious flacherie virus ",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",1242752,"Glyphodes","Crambidae","Lepidoptera","Insecta",12058,NA,"Picornaviridae","Picornavirales","Pisoniviricetes","Orthornavirae"
786,"Sybrida approximans","DNA virus","Baculoviridae","NPV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",NA,NA,NA,NA,NA,10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
787,"Parnara guttata","DNA virus","Baculoviridae","NPV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",218706,"Parnara","Hesperiidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
788,"Papilio xuthus","DNA virus","Baculoviridae","NPV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",66420,"Papilio","Papilionidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
789,"Colias erate poliographus","RNA virus","Reoviridae","CPV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",72852,"Colias","Pieridae","Lepidoptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
790,"Aglais urticae connexa","DNA virus","Baculoviridae","NPV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",NA,NA,NA,NA,NA,10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
791,"Aglais urticae connexa","RNA virus","Reoviridae","CPV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",NA,NA,NA,NA,NA,10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
792,"Aglais urticae","DNA virus","Parvoviridae","Aglais urticae DNV",NA,NA,"Field","Japan, United Kingdom",NA,1996-01-08,1999-02-12,NA,NA,"Virus",111881,"Nymphalis","Nymphalidae","Lepidoptera","Insecta",10780,NA,"Parvoviridae","Piccovirales","Quintoviricetes","Shotokuvirae"
793,"Erannis defoliaria gigantea","DNA virus","Baculoviridae","NPV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",NA,NA,NA,NA,NA,10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
1371,"Operophtera brumata","DNA virus","Poxviridae","EPV (Subgroup B)","Larva","Fat body","Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",104452,"Operophtera","Geometridae","Lepidoptera","Insecta",10240,NA,"Poxviridae","Chitovirales","Pokkesviricetes","Bamfordvirae"
794,"Protoboarmia simpliciaria","DNA virus","Baculoviridae","NPV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",NA,NA,NA,NA,NA,10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
795,"Dendrolimus spectabilis","DNA virus","Baculoviridae","GV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",155323,"Dendrolimus","Lasiocampidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
796,"Dendrolimus superans","RNA virus","Reoviridae","CPV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",420590,"Dendrolimus","Lasiocampidae","Lepidoptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
797,"Gastropacha orientalis","RNA virus","Reoviridae","CPV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",NA,NA,NA,NA,NA,10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
798,"Gastropacha orientalis","DNA virus","Baculoviridae","NPV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",NA,NA,NA,NA,NA,10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
799,"Gastropacha orientalis","DNA virus","Iridoviridae","IV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",NA,NA,NA,NA,NA,10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
1372,"Bombyx mori","DNA virus","Parvoviridae","Bombyx mori DNV-1","Larva",NA,"Field","Japan, China",NA,1996-01-08,1999-02-12,NA,NA,"Virus",7091,"Bombyx","Bombycidae","Lepidoptera","Insecta",10780,NA,"Parvoviridae","Piccovirales","Quintoviricetes","Shotokuvirae"
800,"Bombyx mori","RNA virus","Picornaviridae","Infectious flacherie virus ",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",7091,"Bombyx","Bombycidae","Lepidoptera","Insecta",12058,NA,"Picornaviridae","Picornavirales","Pisoniviricetes","Orthornavirae"
801,"Bombyx mandarina","DNA virus","Baculoviridae","NPV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",7092,"Bombyx","Bombycidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
802,"Bombyx mandarina","RNA virus","Reoviridae","CPV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",7092,"Bombyx","Bombycidae","Lepidoptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
803,"Actias artemis aliena","DNA virus","Baculoviridae","NPV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",37775,"Actias","Saturniidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
804,"Antheraea yamamai yamamai","DNA virus","Iridoviridae","IV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",NA,NA,NA,NA,NA,10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
805,"Antheraea yamamai yamamai","DNA virus","Baculoviridae","NPV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",NA,NA,NA,NA,NA,10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
806,"Theretra oldenlandiae","DNA virus","Baculoviridae","NPV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",1088304,"Theretra","Sphingidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
807,"Phalera flavescens","DNA virus","Baculoviridae","NPV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",13634,"Phalera","Notodontidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
808,"Phalera assimilis","DNA virus","Baculoviridae","NPV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",1331057,"Phalera","Notodontidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
809,"Euproctis subflava","RNA virus","Reoviridae","CPV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",1078813,"Euproctis","Erebidae","Lepidoptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
810,"Leucoma candida","RNA virus","Reoviridae","CPV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",1473150,"Leucoma","Erebidae","Lepidoptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
811,"Leucoma candida","DNA virus","Baculoviridae","NPV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",1473150,"Leucoma","Erebidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
812,"Lymantria dispar","DNA virus","Poxviridae","EPV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",13123,"Lymantria","Erebidae","Lepidoptera","Insecta",10240,NA,"Poxviridae","Chitovirales","Pokkesviricetes","Bamfordvirae"
1373,"Lymantria dispar","DNA virus","Parvoviridae","Lymantria dispar DNV","Larva",NA,"Field","Japan, France",NA,1996-01-08,1999-02-12,NA,NA,"Virus",13123,"Lymantria","Erebidae","Lepidoptera","Insecta",10780,NA,"Parvoviridae","Piccovirales","Quintoviricetes","Shotokuvirae"
813,"Lymantria fumida ","DNA virus","Baculoviridae","NPV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",335466,"Lymantria","Erebidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
814,"Lymantria fumida ","RNA virus","Reoviridae","CPV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",335466,"Lymantria","Erebidae","Lepidoptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
815,"Orgyia postia","DNA virus","Baculoviridae","NPV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",NA,NA,NA,NA,NA,10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
816,"Orgyia thyellina","DNA virus","Baculoviridae","NPV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",335473,"Orgyia","Erebidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
817,"Orgyia thyellina","RNA virus","Reoviridae","CPV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",335473,"Orgyia","Erebidae","Lepidoptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
818,"Amsacta lactinea","DNA virus","Baculoviridae","NPV",NA,NA,"Field","Japan, China",NA,1996-01-08,1999-02-12,NA,NA,"Virus",1473148,"Aloa","Erebidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
819,"Amsacta lactinea","DNA virus","Baculoviridae","GV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",1473148,"Aloa","Erebidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
820,"Hyphantria cunea","DNA virus","Baculoviridae","GV",NA,NA,"Field","Japan, USA",NA,1996-01-08,1999-02-12,NA,NA,"Virus",39466,"Hyphantria","Erebidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
821,"Spilarctia seriatopunctata","DNA virus","Baculoviridae","NPV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",1426856,"Spilarctia","Erebidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
822,"Agrotis exclamationis informis","DNA virus","Baculoviridae","NPV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",NA,NA,NA,NA,NA,10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
823,"Agrotis exclamationis informis","DNA virus","Baculoviridae","GV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",NA,NA,NA,NA,NA,10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
1374,"Agrotis segetum","DNA virus","Baculoviridae","GV","Larva","Hypodermis, fat body, epithelium of tracheal matrix, epithelium of midgut, muscle and nerve tissue, hemolymph, malpighian tubules, cells of salivary and sex glands","Field","Japan, China, Uzbekistan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",47767,"Agrotis","Noctuidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
824,"Agrotis tokionis","DNA virus","Baculoviridae","GV",NA,NA,"Field","Japan, China",NA,1996-01-08,1999-02-12,NA,NA,"Virus",2529378,"Agrotis","Noctuidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
825,"Helicoverpa armigera","DNA virus","Baculoviridae","GV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",29058,"Helicoverpa","Noctuidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
826,"Helicoverpa armigera","DNA virus","Iridoviridae","IV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",29058,"Helicoverpa","Noctuidae","Lepidoptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
827,"Mamestra brassicae","DNA virus","Parvoviridae","DNV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",55057,"Mamestra","Noctuidae","Lepidoptera","Insecta",10780,NA,"Parvoviridae","Piccovirales","Quintoviricetes","Shotokuvirae"
828,"Mythimna separata","DNA virus","Baculoviridae","NPV",NA,NA,"Field","Japan, China, New Zealand",NA,1996-01-08,1999-02-12,NA,NA,"Virus",271217,"Mythimna","Noctuidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
829,"Mythimna separata","DNA virus","Baculoviridae","GV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",271217,"Mythimna","Noctuidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
830,"Mythimna separata","DNA virus","Poxviridae","EPV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",271217,"Mythimna","Noctuidae","Lepidoptera","Insecta",10240,NA,"Poxviridae","Chitovirales","Pokkesviricetes","Bamfordvirae"
831,"Sesamia inferens ","DNA virus","Baculoviridae","NPV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",492764,"Sesamia","Noctuidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
832,"Spodoptera exigua","DNA virus","Baculoviridae","GV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",7107,"Spodoptera","Noctuidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
833,"Spodoptera litura","DNA virus","Baculoviridae","GV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",69820,"Spodoptera","Noctuidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
834,"Trichoplusia ni","DNA virus","Baculoviridae","GV",NA,NA,"Field","Japan, USA",NA,1996-01-08,1999-02-12,NA,NA,"Virus",7111,"Trichoplusia","Noctuidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
835,"Xestia c-nigrum","DNA virus","Baculoviridae","GV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",987431,"Xestia","Noctuidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
836,"Xestia dilatata","DNA virus","Baculoviridae","NPV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",2249649,"Xestia","Noctuidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
837,"Xylena fumosa","DNA virus","Baculoviridae","NPV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",NA,NA,NA,NA,NA,10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
838,"Trichosea champa","DNA virus","Baculoviridae","NPV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",1178170,"Trichosea","Noctuidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
839,"Drosophila melanogaster","RNA virus","Rhabdoviridae","Drosophila  sigma virus",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",7227,"Drosophila","Drosophilidae","Diptera","Insecta",11270,NA,"Rhabdoviridae","Mononegavirales","Monjiviricetes","Orthornavirae"
840,"Drosophila melanogaster","RNA virus","Picornaviridae","Drosophila  C virus",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",7227,"Drosophila","Drosophilidae","Diptera","Insecta",12058,NA,"Picornaviridae","Picornavirales","Pisoniviricetes","Orthornavirae"
841,"Drosophila melanogaster",NA,NA,"Retrovirus  (RTV)",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",7227,"Drosophila","Drosophilidae","Diptera","Insecta",NA,NA,NA,NA,NA,NA
842,"Adoxophyes sp.","DNA virus","Baculoviridae","GV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",85584,"Adoxophyes","Tortricidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
843,"Adoxophyes sp.","DNA virus","Poxviridae","EPV Subgroup B",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",85584,"Adoxophyes","Tortricidae","Lepidoptera","Insecta",10240,NA,"Poxviridae","Chitovirales","Pokkesviricetes","Bamfordvirae"
844,"Adoxophyes sp.","RNA virus","Reoviridae","CPV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",85584,"Adoxophyes","Tortricidae","Lepidoptera","Insecta",10880,NA,"Reoviridae","Reovirales","Resentoviricetes","Orthornavirae"
845,"Hoshinoa longicellana","DNA virus","Baculoviridae","GV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",928821,"Choristoneura","Tortricidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
846,"Bambalina sp.","DNA virus","Baculoviridae","NPV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",1765115,"Bambalina","Psychidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
847,"Eumeta japonica","DNA virus","Baculoviridae","NPV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",151549,"Eumeta","Psychidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
848,"Eumeta minuscula","DNA virus","Baculoviridae","NPV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",1765101,"Eumeta","Psychidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
849,"Tinea translucens","DNA virus","Baculoviridae","NPV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",1377499,"Tinea","Tineidae","Lepidoptera","Insecta",10442,NA,"Baculoviridae","Lefavirales","Naldaviricetes",NA
850,"Tinea translucens","DNA virus","Iridoviridae","IV",NA,NA,"Field","Japan",NA,1996-01-08,1999-02-12,NA,NA,"Virus",1377499,"Tinea","Tineidae","Lepidoptera","Insecta",10486,NA,"Iridoviridae","Pimascovirales","Megaviricetes","Bamfordvirae"
